url_id,total_meters,floor,floors_count,district,price
301252113,35.2,8,12,Кунцево,13900000
298431842,30.0,1,5,Донской,6500000
296922118,44.0,13,15,Нагатинский затон,25490000
300593992,36.0,4,12,Царицыно,11950000
301023405,37.0,7,9,Кузьминки,12000000
301036854,36.0,3,23,Лефортово,16790000
300993993,30.0,1,9,Ивановское,7950000
301144101,37.3,2,16,Строгино,13499900
299854482,30.0,9,52,Хорошево-Мневники,17200000
301086170,28.1,2,5,Нижегородский,8700000
299860953,40.5,9,41,Хорошевский,27000000
293760838,42.4,18,48,Хорошево-Мневники,19900000
300393119,46.0,10,12,Филевский парк,18200000
300615956,42.0,2,20,Орехово-Борисово Южное,17900000
301143981,36.0,13,16,Северное Медведково,9750000
299147351,31.0,3,8,Таганский,11790000
298873799,43.0,34,58,Хорошево-Мневники,23999999
300791352,35.8,2,12,Академический,11499999
294768332,39.3,4,6,Хорошевский,15500000
299463560,36.1,8,10,Даниловский,22500000
300501002,35.0,3,12,Западное Дегунино,10100000
300647536,38.7,4,12,Нагатино-Садовники,13000000
298376026,37.5,15,30,Южнопортовый,14500000
300775907,32.7,4,9,Теплый Стан,10000000
300505732,33.2,5,12,Нагорный,11800000
299554905,30.7,5,5,Донской,13200000
300507880,36.3,5,29,Богородское,13600000
299383210,38.6,11,12,Нижегородский,14350000
293522718,33.7,3,9,,7700000
299635004,37.8,16,17,,8700000
295758505,32.8,6,9,Печатники,8900000
300313530,41.6,12,17,Косино-Ухтомский,8900000
299740960,34.6,15,17,Ясенево,9000000
298065569,34.9,8,12,Дмитровский,9000000
299776431,38.7,12,12,Орехово-Борисово Южное,9300000
297263854,38.3,2,14,Южное Бутово,9300000
298520114,39.0,9,12,Марьино,9380000
297048212,37.8,5,12,Некрасовка,9400000
301129606,17.9,1,5,Соколиная гора,9600000
301026477,35.0,3,12,Марьино,9700000
301181308,31.4,2,2,Текстильщики,9800000
300967755,28.7,2,2,Текстильщики,9990000
299469625,38.0,8,17,Северное Бутово,10000000
301157475,30.0,5,5,Хорошевский,10100000
300683935,32.0,2,9,Тропарево-Никулино,10200000
300962482,33.0,5,14,Алексеевский,11999000
300798228,38.3,11,12,Дмитровский,13100000
300664356,36.0,11,14,Новогиреево,8599999
299722483,26.8,6,13,Таганский,10300000
300400527,31.0,3,5,,8490000
298285470,38.2,16,23,,12990000
294760157,20.3,5,16,Очаково-Матвеевское,7000000
301182335,23.4,2,9,Головинский,8200000
300889564,40.6,12,16,Можайский,19000000
301217296,37.2,3,16,Строгино,12500000
298527999,38.7,3,9,Перово,10500000
300557795,35.0,5,12,Войковский,14490000
298984231,38.6,15,22,Чертаново Центральное,12500000
297902239,37.5,13,16,Бибирево,10300000
293304663,31.1,2,8,Замоскворечье,13600000
295294075,35.2,6,12,Преображенское,10500000
294267082,38.1,7,17,Чертаново Северное,10990000
294726824,33.3,4,5,Алексеевский,10950000
300725362,35.0,8,9,Северное Тушино,10490000
301215426,32.5,1,9,Марьино,7600000
297727983,46.3,25,25,Левобережный,15500000
300895436,27.6,7,12,Матушкино,6950000
294038293,43.5,11,24,Нижегородский,14300000
298016918,30.3,3,9,Люблино,6825000
301148981,33.0,7,9,Строгино,12000000
294451528,38.0,9,17,Южное Бутово,10500000
301187371,39.6,11,12,Марьино,11000000
294258749,37.9,12,17,Братеево,12000000
300071808,51.4,4,5,Рязанский,11800000
299575784,25.2,8,9,Головинский,9000000
299942586,42.0,18,21,Очаково-Матвеевское,15600000
300775267,40.0,24,30,Лефортово,17990000
282804238,38.1,12,17,мкр. Град Московский,8700000
299744002,30.3,4,5,Хамовники,23000000
299893948,38.9,5,16,Отрадное,11300000
299373811,38.0,12,14,Лосиноостровский,8990000
299943786,42.5,18,25,Очаково-Матвеевское,16950000
301042896,39.1,21,29,Покровское-Стрешнево,17700000
291263455,24.1,1,14,Солнцево,5880000
300065800,42.0,19,47,Хорошево-Мневники,23900000
300614822,40.0,11,12,Хорошево-Мневники,14500000
296022826,30.0,1,8,Ростокино,9990000
301289422,37.6,10,20,Филевский парк,23500000
299652109,31.5,4,9,Выхино-Жулебино,8150000
300867223,36.5,1,24,Люблино,10100000
299198123,43.5,9,46,Хорошево-Мневники,23000000
299055856,33.6,2,9,Мещанский,15500000
299174112,34.4,22,33,Хорошево-Мневники,18800000
300889696,36.19,10,22,Западное Дегунино,14100000
301054610,19.2,1,5,Таганский,5820000
294926126,26.8,4,9,Люблино,6182125
297368415,43.8,30,32,Бутырский,16950000
300930286,42.0,1,22,Зябликово,9600000
299789518,26.9,6,9,Люблино,6507900
295766411,35.3,9,9,Люблино,8977500
301218140,38.0,15,31,Можайский,19500000
296746930,34.9,1,9,Люблино,6854250
296746996,35.1,9,9,Люблино,7220000
301063006,39.0,10,16,Ярославский,9000000
298016388,29.8,1,9,Люблино,6370000
298016618,36.1,4,9,Люблино,9120000
301136222,9.6,2,6,Северное Измайлово,3190000
294228710,37.0,8,9,Люблино,9215000
294926973,36.9,7,9,Люблино,9215000
301257645,31.0,2,5,Останкинский,11000000
296747241,36.0,4,9,Люблино,9120000
294226529,36.1,5,9,Люблино,9120000
300485094,31.7,9,9,Раменки,10950000
297465291,36.3,7,9,Люблино,9215000
295766589,35.9,9,9,Люблино,9072500
301127027,29.9,9,9,Богородское,12500000
298882717,36.5,9,9,Люблино,9215000
298939258,32.0,6,15,Хорошевский,15400000
300835111,22.1,5,32,Хорошево-Мневники,13700000
299486441,41.15,6,12,Нагатинский затон,13400000
298733986,56.7,8,22,Лосиноостровский,14400000
299499224,30.0,2,14,,7600000
299979503,34.2,4,9,Восточное Дегунино,11390000
300780263,45.2,10,22,Ясенево,13200000
300136053,32.6,3,9,Восточное Измайлово,9800000
298396811,36.1,24,38,Бутырский,15900000
300812067,36.2,8,17,Тверской,27000000
300045498,36.8,11,16,Таганский,15299000
296468472,40.3,13,16,,8400000
300901025,43.0,10,17,Южное Бутово,7700000
297062106,34.1,2,9,Красносельский,21190000
299188084,37.0,11,13,Десеновское поселение,8550000
299945077,36.9,13,18,Марьино,9900000
300307846,46.3,3,18,Черемушки,18500000
292414373,14.3,16,22,Тропарево-Никулино,7450000
298169068,36.2,6,25,Митино,10950000
300943049,42.0,20,21,Сокольники,15600000
298908878,41.0,17,17,,10600000
301011380,34.5,7,12,Щукино,12500000
294621795,19.6,12,22,Тропарево-Никулино,7900000
300938234,30.0,2,2,Текстильщики,10500000
295974920,18.0,8,10,Выхино-Жулебино,6700000
300140948,44.0,11,20,Левобережный,22500000
292542632,21.3,11,22,Тропарево-Никулино,9200000
297433458,38.6,3,17,Косино-Ухтомский,8500000
298734128,47.8,22,23,Чертаново Южное,20500000
298839224,41.0,12,28,Покровское-Стрешнево,18500000
301164222,35.4,6,12,Новогиреево,10500000
300858701,17.3,6,22,Тропарево-Никулино,8590000
300938238,29.3,2,2,Текстильщики,10500000
298942364,31.0,6,16,,6800000
294623881,20.8,6,22,Тропарево-Никулино,8950000
295014010,17.3,6,22,Тропарево-Никулино,8590000
300162521,32.0,2,5,Выхино-Жулебино,8800000
293718260,43.0,5,6,Беговой,27999000
300822403,19.4,22,22,Тропарево-Никулино,8880000
299257847,32.0,5,5,Перово,8700000
299873259,20.3,15,22,Тропарево-Никулино,9243500
298843352,17.6,13,22,Тропарево-Никулино,8600000
300664967,36.0,9,9,Кунцево,13990000
295995479,44.0,2,27,Хорошевский,20590000
299579932,45.0,4,14,Раменки,26000000
300133799,35.0,9,9,Зюзино,11990000
300094228,17.3,15,22,Тропарево-Никулино,8900000
267693639,41.0,7,12,,10900000
299360335,30.0,5,27,Лефортово,14500000
300540943,32.1,4,15,Хорошевский,18000000
301109652,39.0,10,14,Можайский,12750000
298396939,41.5,21,42,Котловка,20500000
298556528,34.9,2,14,Можайский,10900000
298583239,36.0,13,16,Чертаново Южное,9640000
300708535,31.8,9,34,Очаково-Матвеевское,14550000
300540938,30.2,4,15,Хорошевский,17500000
300135811,33.0,7,8,Южнопортовый,13500000
299110205,39.8,7,11,Басманный,24950000
300883239,28.1,5,27,Лефортово,14580000
300943823,37.2,15,16,Зябликово,12200000
300622309,36.2,5,27,Очаково-Матвеевское,17150000
299343814,42.0,2,23,Рязанский,11950000
301163003,37.9,4,17,Северное Бутово,9800000
297215041,38.7,13,14,Таганский,18300000
299397196,38.0,3,9,Раменки,13500000
299436862,34.8,7,9,,7930000
296064946,40.6,6,29,Хорошево-Мневники,24700000
297496947,36.6,7,30,Хорошево-Мневники,21800000
299562651,40.0,11,14,Люблино,9000000
301189223,42.0,8,9,Ярославский,9900000
301081242,38.0,11,19,Марьино,10250000
301122759,40.0,5,17,,8500000
301251956,37.9,22,24,,9750000
301233022,33.0,11,12,Раменки,14100000
300833245,43.9,1,16,Ховрино,14500000
299203876,35.0,2,10,Ростокино,13500000
301156926,25.5,4,9,Хорошево-Мневники,10700000
300832068,41.7,5,26,Лефортово,18490000
300031502,34.0,21,21,,11250000
298357242,20.2,3,5,Марфино,5099999
297066948,44.0,4,4,Соколиная гора,11950000
298274016,37.6,11,17,,10800000
299656583,37.2,16,17,Бирюлево Восточное,9200000
299963312,38.6,8,24,Метрогородок,13750000
300664236,42.9,14,47,Хорошево-Мневники,18000000
300839361,32.8,8,9,Лосиноостровский,8800000
299397194,45.0,17,19,Черемушки,12300000
300989405,33.0,6,9,Сокольники,14900000
300595799,38.0,8,27,Лефортово,18900000
301111364,31.5,2,5,Метрогородок,10250000
298169363,40.0,2,11,Останкинский,24800000
300583980,31.2,3,16,,10000000
300157559,34.0,8,9,Северное Измайлово,10750000
299203398,40.9,6,18,Академический,17400000
300098216,33.1,5,9,Восточное Дегунино,10190000
293823518,29.8,6,6,Восточное Измайлово,5699000
298204489,33.0,14,16,,8800000
298414628,38.0,12,12,Северное Тушино,12999999
301185504,40.0,8,17,Марфино,13000000
300146314,41.0,15,22,Ново-Переделкино,9900000
301279667,30.0,20,31,Марфино,14950000
301150654,38.0,8,17,Москворечье-Сабурово,10300000
301102672,36.0,4,22,,11400000
301169136,43.4,13,19,,10500000
299565654,34.0,5,9,Северное Измайлово,8680000
299800501,57.4,23,25,Покровское-Стрешнево,13930000
300849956,40.0,7,19,Покровское-Стрешнево,18400000
301131179,38.7,3,12,Бибирево,10500000
301214752,26.6,6,31,Марфино,13500000
295677601,39.3,12,14,Перово,11900000
301108336,38.0,17,17,Западное Дегунино,9700000
297511312,42.0,9,48,Хорошево-Мневники,24200000
298572994,37.5,5,14,Котловка,12500000
298068780,52.7,5,7,Басманный,19250000
299329406,30.0,5,5,Перово,10000000
298195100,38.8,10,12,,9500000
299553350,35.0,4,12,Рязанский,9700000
298260764,42.0,15,17,Кузьминки,13300000
279125910,33.0,6,15,Хорошевский,17000000
298868538,29.6,1,5,Покровское-Стрешнево,8590000
300833061,43.7,2,14,Лефортово,19990000
299979419,40.0,2,16,Северное Тушино,10890000
299772602,46.0,29,29,Нижегородский,16500000
300197626,32.2,7,9,Чертаново Южное,12400000
301035602,38.6,29,33,Дмитровский,12700000
298515828,40.0,17,20,,13350000
297908781,35.5,2,10,Академический,12850000
298982026,34.8,6,16,Дмитровский,13500000
296361605,46.4,11,34,Обручевский,19990000
297150066,63.0,6,24,Крылатское,21800000
299202447,37.4,9,31,Раменки,23000000
297944362,38.0,8,14,,11350000
298527239,37.0,13,17,Ростокино,14000000
301003683,31.8,5,5,Хорошево-Мневники,14500000
300458799,36.7,1,17,Западное Дегунино,10800000
299609970,47.7,1,9,Кунцево,21586085
297245626,47.0,2,32,Хорошево-Мневники,21950000
298273992,38.1,2,15,,8500000
300741487,35.0,10,12,Метрогородок,8350000
298794106,19.1,7,7,Марьина роща,7490000
298373539,31.7,6,14,,8400000
298213083,41.8,2,3,,8500000
301039593,32.6,3,4,,7300000
